Pokemon Id,Pokedex Number,Pokemon Name,Classification,Alternate Form Name,Original Pokemon ID,Legendary Type,Primary Type,Secondary Type,Primary Ability,Primary Ability Description,Secondary Ability,Secondary Ability Description,Hidden Ability,Hidden Ability Description,Special Event Ability,Special Event Ability Description,Base Happiness,Game(s) of Origin,Experience Growth,Experience Yield,Primary Egg Group,Secondary Egg Group,Egg Cycle Count,Pre-Evolution Pokemon Id,Evolution Details
21,404,Luxio,Spark Pokemon,NA,NA,None,Electric,None,Rivalry,"Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.",Intimidate,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.",Guts,It's so gutsy that having a status condition boosts the Pokémon's Attack stat.,NA,NA,100,Diamond,Medium Slow,127,Field,NA,20,20,Level 15
22,405,Luxray,Gleam Eyes Pokemon,NA,NA,None,Electric,None,Rivalry,"Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.",Intimidate,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.",Guts,It's so gutsy that having a status condition boosts the Pokémon's Attack stat.,NA,NA,70,Diamond,Medium Slow,235,Field,NA,20,21,Level 30
23,11,Metapod,Cocoon Pokemon,NA,NA,None,Bug,None,Shed Skin,The Pokémon may heal its own status conditions by shedding its skin.,NA,NA,NA,NA,NA,NA,70,Red,Medium Fast,72,Bug,NA,15,32,Level 7
24,12,Butterfree,Butterfly Pokemon,NA,NA,None,Bug,Flying,Compound Eyes,The Pokémon's compound eyes boost its accuracy.,NA,NA,Tinted Lens,The Pokémon can use not very effective moves to deal regular damage.,NA,NA,70,Red,Medium Fast,178,Bug,NA,15,23,Level 10
25,679,Honedge,Sword Pokemon,NA,NA,None,Steel,Ghost,No Guard,The Pokémon employs no-guard tactics to ensure incoming and outgoing attacks always land.,NA,NA,NA,NA,NA,NA,70,X,Medium Fast,65,Mineral,NA,20,NA,NA
26,680,Doublade,Sword Pokemon,NA,NA,None,Steel,Ghost,No Guard,The Pokémon employs no-guard tactics to ensure incoming and outgoing attacks always land.,NA,NA,NA,NA,NA,NA,70,X,Medium Fast,157,Mineral,NA,20,25,Level 35
27,15,Beedrill,Poison Bee Pokemon,NA,NA,None,Bug,Poison,Swarm,Powers up Bug-type moves when the Pokémon's HP is low.,NA,NA,Sniper,Powers up moves if they become critical hits when attacking.,NA,NA,70,Red,Medium Fast,178,Bug,NA,15,30,Level 10
28,15,Beedrill,Poison Bee Pokemon,Mega,27,None,Bug,Poison,Adaptability,Powers up moves of the same type as the Pokémon.,NA,NA,NA,NA,NA,NA,70,Omega Ruby,Medium Fast,223,Bug,NA,15,NA,NA
29,132,Ditto,Transform Pokemon,NA,NA,None,Normal,None,Limber,Its limber body protects the Pokémon from paralysis.,NA,NA,Imposter,The Pokémon transforms itself into the Pokémon it's facing.,NA,NA,70,Red,Medium Fast,101,Ditto,NA,20,NA,NA
30,14,Kakuna,Cocoon Pokemon,NA,NA,None,Bug,Poison,Shed Skin,The Pokémon may heal its own status conditions by shedding its skin.,NA,NA,NA,NA,NA,NA,70,Red,Medium Fast,72,Bug,NA,15,31,Level 7
31,13,Weedle,Hairy Bug Pokemon,NA,NA,None,Bug,Poison,Shield Dust,This Pokémon's dust blocks the additional effects of attacks taken.,NA,NA,Run Away,Enables a sure getaway from wild Pokémon.,NA,NA,70,Red,Medium Fast,39,Bug,NA,15,NA,NA
32,10,Caterpie,Worm Pokemon,NA,NA,None,Bug,None,Shield Dust,This Pokémon's dust blocks the additional effects of attacks taken.,NA,NA,Run Away,Enables a sure getaway from wild Pokémon.,NA,NA,70,Red,Medium Fast,39,Bug,NA,15,NA,NA
33,29,Nidoran (Female),Poison Pin Pokemon,NA,NA,None,Poison,None,Poison Point,Contact with the Pokémon may poison the attacker.,Rivalry,"Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.",Hustle,"Boosts the Attack stat, but lowers accuracy.",NA,NA,70,Red,Medium Slow,55,Monster,Field,20,NA,NA
34,390,Chimchar,Chimp Pokemon,NA,NA,None,Fire,None,Blaze,Powers up Fire-type moves when the Pokémon's HP is low.,NA,NA,Iron Fist,Powers up punching moves.,NA,NA,70,Diamond,Medium Slow,62,Field,Human-Like,20,NA,NA
35,391,Monferno,Playful Pokemon,NA,NA,None,Fire,Fighting,Blaze,Powers up Fire-type moves when the Pokémon's HP is low.,NA,NA,Iron Fist,Powers up punching moves.,NA,NA,70,Diamond,Medium Slow,142,Field,Human-Like,20,34,Level 14
36,489,Phione,Sea Drifter Pokemon,NA,NA,Mythical,Water,None,Hydration,Heals status conditions if it's raining.,NA,NA,NA,NA,NA,NA,70,Diamond,Slow,216,Water 1,Fairy,40,NA,NA
37,490,Manaphy,Seafaring Pokemon,NA,NA,Mythical,Water,None,Hydration,Heals status conditions if it's raining.,NA,NA,NA,NA,NA,NA,70,Diamond,Slow,270,Water 1,Fairy,10,NA,NA
38,891,Kubfu,Wushu Pokemon,NA,NA,Sub-Legendary,Fighting,None,Inner Focus,"The Pokémon's intensely focused, and that protects the Pokémon from flinching.",NA,NA,NA,NA,NA,NA,0,Sword,Slow,57,Undiscovered,NA,120,NA,NA
39,892,Urshifu,Wushu Pokemon,NA,NA,Sub-Legendary,Fighting,Dark,Unseen Fist,"The Pokémon can deal damage with moves that make physical contact, even if the target is protected.",NA,NA,NA,NA,NA,NA,0,Sword,Slow,257,Undiscovered,NA,120,38,Conquer the Tower of Darkness in Galar's Isle of Armor
40,892,Urshifu,Wushu Pokemon,Rapid Strike,39,Sub-Legendary,Fighting,Water,Unseen Fist,"The Pokémon can deal damage with moves that make physical contact, even if the target is protected.",NA,NA,NA,NA,NA,NA,0,Sword,Slow,257,Undiscovered,NA,120,38,Conquer the Tower of Waters in Galar's Isle of Armor
41,898,Calyrex,King Pokemon,NA,NA,Legendary,Psychic,Grass,Unnerve,Unnerves opposing Pokémon and makes them unable to eat Berries.,NA,NA,NA,NA,NA,NA,0,Sword,Slow,250,Undiscovered,NA,120,NA,NA
42,151,Mew,New Species Pokemon,NA,NA,Mythical,Psychic,None,Synchronize,"The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokémon.",NA,NA,NA,NA,NA,NA,100,Red,Medium Slow,270,Undiscovered,NA,120,NA,NA
43,150,Mewtwo,Genetic Pokemon,NA,NA,Legendary,Psychic,None,Pressure,"By putting pressure on the opposing Pokémon, it raises their PP usage.",NA,NA,Unnerve,Unnerves opposing Pokémon and makes them unable to eat Berries.,NA,NA,0,Red,Slow,306,Undiscovered,NA,120,NA,NA
44,150,Mewtwo,Genetic Pokemon,Mega X,43,Legendary,Psychic,None,Steadfast,The Pokémon's determination boosts the Speed stat each time the Pokémon flinches.,NA,NA,NA,NA,NA,NA,0,X,Slow,351,Undiscovered,NA,120,NA,NA
45,150,Mewtwo,Genetic Pokemon,Mega Y,43,Legendary,Psychic,None,Insomnia,The Pokémon is suffering from insomnia and cannot fall asleep.,NA,NA,NA,NA,NA,NA,0,X,Slow,351,Undiscovered,NA,120,NA,NA
46,81,Magnemite,Magnet Pokemon,NA,NA,None,Electric,Steel,Magnet Pull,Prevents Steel-type Pokémon from escaping using its magnetic force.,Sturdy,"It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.",Analytic,Boosts move power when the Pokémon moves last.,NA,NA,70,Red,Medium Fast,65,Mineral,NA,20,NA,NA
47,100,Voltorb,Ball Pokemon,NA,NA,None,Electric,None,Soundproof,Soundproofing gives the Pokémon full immunity to all sound-based moves.,Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis.",Aftermath,Damages the attacker if it contacts the Pokémon with a finishing hit.,NA,NA,70,Red,Medium Fast,66,Mineral,NA,20,NA,NA
48,32,Nidoran (Male),Poison Pin Pokemon,NA,NA,None,Poison,None,Poison Point,Contact with the Pokémon may poison the attacker.,Rivalry,"Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.",Hustle,"Boosts the Attack stat, but lowers accuracy.",NA,NA,70,Red,Medium Slow,55,Monster,Field,20,NA,NA
49,33,Nidorino,Poison Pin Pokemon,NA,NA,None,Poison,None,Poison Point,Contact with the Pokémon may poison the attacker.,Rivalry,"Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.",Hustle,"Boosts the Attack stat, but lowers accuracy.",NA,NA,70,Red,Medium Slow,128,Monster,Field,20,48,Level 16
50,34,Nidoking,Drill Pokemon,NA,NA,None,Poison,Ground,Poison Point,Contact with the Pokémon may poison the attacker.,Rivalry,"Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.",Sheer Force,Removes additional effects to increase the power of moves when attacking.,NA,NA,70,Red,Medium Slow,227,Monster,Field,20,49,Moon Stone
51,173,Cleffa,Star Shape Pokemon,NA,NA,None,Fairy,None,Cute Charm,Contact with the Pokémon may cause infatuation.,Magic Bounce,Reflects status moves instead of getting hit by them.,Friend Guard,Reduces damage done to allies.,NA,NA,140,Gold,Fast,44,Undiscovered,NA,10,NA,NA
52,35,Clefairy,Fairy Pokemon,NA,NA,None,Fairy,None,Cute Charm,Contact with the Pokémon may cause infatuation.,Magic Guard,The Pokémon only takes damage from attacks.,Friend Guard,Reduces damage done to allies.,NA,NA,140,Red,Fast,113,Fairy,NA,20,51,NA
53,36,Clefable,Fairy Pokemon,NA,NA,None,Fairy,None,Cute Charm,Contact with the Pokémon may cause infatuation.,Magic Guard,The Pokémon only takes damage from attacks.,Unaware,"When attacking, the Pokémon ignores the target Pokémon's stat changes.",NA,NA,140,Red,Fast,217,Fairy,NA,10,52,Moon Stone
54,37,Vulpix,Fox Pokemon,NA,NA,None,Fire,None,Flash Fire,Powers up the Pokémon's Fire-type moves if it's hit by one.,NA,NA,Drought,Turns the sunlight harsh when the Pokémon enters a battle.,NA,NA,70,Red,Medium Fast,60,Field,NA,20,NA,NA
55,37,Vulpix,Fox Pokemon,Alola,54,None,Ice,None,Snow Cloak,Boosts evasiveness in a hailstorm.,NA,NA,Snow Warning,The Pokémon summons a hailstorm when it enters a battle.,NA,NA,70,Sun,Medium Fast,60,Field,NA,20,NA,NA
56,38,Ninetales,Fox Pokemon,NA,NA,None,Fire,None,Flash Fire,Powers up the Pokémon's Fire-type moves if it's hit by one.,NA,NA,Drought,Turns the sunlight harsh when the Pokémon enters a battle.,NA,NA,70,Red,Medium Fast,177,Field,NA,20,54,Fire Stone
57,38,Ninetales,Fox Pokemon,Alola,56,None,Ice,Fairy,Snow Cloak,Boosts evasiveness in a hailstorm.,NA,NA,Snow Warning,The Pokémon summons a hailstorm when it enters a battle.,NA,NA,70,Sun,Medium Fast,177,Field,NA,20,55,Ice Stone
58,174,Igglybuff,Balloon Pokemon,NA,NA,None,Normal,Fairy,Cute Charm,Contact with the Pokémon may cause infatuation.,Competitive,Boosts the Sp. Atk stat sharply when a stat is lowered.,Friend Guard,Reduces damage done to allies.,NA,NA,70,Gold,Fast,45,Undiscovered,NA,10,NA,NA
59,39,Jigglypuff,Balloon Pokemon,NA,NA,None,Normal,Fairy,Cute Charm,Contact with the Pokémon may cause infatuation.,Competitive,Boosts the Sp. Atk stat sharply when a stat is lowered.,Friend Guard,Reduces damage done to allies.,NA,NA,70,Red,Fast,95,Fairy,NA,10,58,NA
60,40,Wigglytuff,Balloon Pokemon,NA,NA,None,Normal,Fairy,Cute Charm,Contact with the Pokémon may cause infatuation.,Competitive,Boosts the Sp. Atk stat sharply when a stat is lowered.,Frisk,"When it enters a battle, the Pokémon can check an opposing Pokémon's held item.",NA,NA,70,Red,Fast,196,Fairy,NA,10,59,Moon Stone
61,41,Zubat,Bat Pokemon,NA,NA,None,Poison,Flying,Inner Focus,"The Pokémon's intensely focused, and that protects the Pokémon from flinching.",NA,NA,Infiltrator,"Passes through the opposing Pokémon's barrier, substitute, and the like and strikes.",NA,NA,70,Red,Medium Fast,49,Flying,NA,15,NA,NA
62,42,Golbat,Bat Pokemon,NA,NA,None,Poison,Flying,Inner Focus,"The Pokémon's intensely focused, and that protects the Pokémon from flinching.",NA,NA,Infiltrator,"Passes through the opposing Pokémon's barrier, substitute, and the like and strikes.",NA,NA,70,Red,Medium Fast,159,Flying,NA,15,61,Level 22
63,169,Crobat,Bat Pokemon,NA,NA,None,Poison,Flying,Inner Focus,"The Pokémon's intensely focused, and that protects the Pokémon from flinching.",NA,NA,Infiltrator,"Passes through the opposing Pokémon's barrier, substitute, and the like and strikes.",NA,NA,70,Gold,Medium Fast,241,Flying,NA,15,62,NA
64,43,Oddish,Weed Pokemon,NA,NA,None,Grass,Poison,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight.,NA,NA,Run Away,Enables a sure getaway from wild Pokémon.,NA,NA,70,Red,Medium Slow,64,Grass,NA,20,NA,NA
65,44,Gloom,Weed Pokemon,NA,NA,None,Grass,Poison,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight.,NA,NA,Stench,"By releasing stench when attacking, this Pokémon may cause the target to flinch.",NA,NA,70,Red,Medium Slow,138,Grass,NA,20,64,Level 21
66,45,Vileplume,Flower Pokemon,NA,NA,None,Grass,Poison,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight.,NA,NA,Effect Spore,"Contact with the Pokémon may inflict poison, sleep, or paralysis on its attacker.",NA,NA,70,Red,Medium Slow,221,Grass,NA,20,65,Leaf Stone
67,182,Bellossom,Flower Pokemon,NA,NA,None,Grass,None,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight.,NA,NA,Healer,Sometimes heals an ally's status condition.,NA,NA,70,Gold,Medium Slow,221,Grass,NA,20,65,Sun Stone
68,46,Paras,Mushroom Pokemon,NA,NA,None,Bug,Grass,Effect Spore,"Contact with the Pokémon may inflict poison, sleep, or paralysis on its attacker.",Dry Skin,"Restores HP in rain or when hit by Water-type moves. Reduces HP in harsh sunlight, and increases the damage received from Fire-type moves.",Damp,"Prevents the use of explosive moves, such as Self-Destruct, by dampening its surroundings.",NA,NA,70,Red,Medium Fast,57,Bug,Grass,20,NA,NA
69,47,Parasect,Mushroom Pokemon,NA,NA,None,Bug,Grass,Effect Spore,"Contact with the Pokémon may inflict poison, sleep, or paralysis on its attacker.",Dry Skin,"Restores HP in rain or when hit by Water-type moves. Reduces HP in harsh sunlight, and increases the damage received from Fire-type moves.",Damp,"Prevents the use of explosive moves, such as Self-Destruct, by dampening its surroundings.",NA,NA,70,Red,Medium Fast,142,Bug,Grass,20,68,Level 24
70,48,Venonat,Insect Pokemon,NA,NA,None,Bug,Poison,Compound Eyes,The Pokémon's compound eyes boost its accuracy.,Tinted Lens,The Pokémon can use not very effective moves to deal regular damage.,Run Away,Enables a sure getaway from wild Pokémon.,NA,NA,70,Red,Medium Fast,61,Bug,NA,20,NA,NA
71,49,Venomoth,Poison Moth Pokemon,NA,NA,None,Bug,Poison,Shield Dust,This Pokémon's dust blocks the additional effects of attacks taken.,Tinted Lens,The Pokémon can use not very effective moves to deal regular damage.,Wonder Skin,Makes status moves more likely to miss.,NA,NA,70,Red,Medium Fast,158,Bug,NA,20,70,Level 31
72,50,Diglett,Mole Pokemon,NA,NA,None,Ground,None,Sand Veil,Boosts the Pokémon's evasiveness in a sandstorm.,Arena Trap,Prevents opposing Pokémon from fleeing.,Sand Force,"Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.",NA,NA,70,Red,Medium Fast,53,Field,NA,20,NA,NA
73,51,Dugtrio,Mole Pokemon,NA,NA,None,Ground,None,Sand Veil,Boosts the Pokémon's evasiveness in a sandstorm.,Arena Trap,Prevents opposing Pokémon from fleeing.,Sand Force,"Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.",NA,NA,70,Red,Medium Fast,149,Field,NA,20,72,Level 26
74,50,Diglett,Mole Pokemon,Alola,72,None,Ground,Steel,Sand Veil,Boosts the Pokémon's evasiveness in a sandstorm.,Tangling Hair,Contact with the Pokémon lowers the attacker's Speed stat.,Sand Force,"Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.",NA,NA,70,Sun,Medium Fast,53,Field,NA,20,NA,NA
75,51,Dugtrio,Mole Pokemon,Alola,73,None,Ground,Steel,Sand Veil,Boosts the Pokémon's evasiveness in a sandstorm.,Tangling Hair,Contact with the Pokémon lowers the attacker's Speed stat.,Sand Force,"Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.",NA,NA,70,Sun,Medium Fast,149,Field,NA,20,74,Level 26 In Alola
76,16,Pidgey,Tiny Bird Pokemon,NA,NA,None,Normal,Flying,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,Tangled Feet,Raises evasiveness if the Pokémon is confused.,Big Pecks,Protects the Pokémon from Defense-lowering effects.,NA,NA,70,Red,Medium Slow,50,Flying,NA,15,NA,NA
77,17,Pidgeotto,Bird Pokemon,NA,NA,None,Normal,Flying,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,Tangled Feet,Raises evasiveness if the Pokémon is confused.,Big Pecks,Protects the Pokémon from Defense-lowering effects.,NA,NA,70,Red,Medium Slow,122,Flying,NA,15,76,Level 18
78,18,Pidgeot,Bird Pokemon,NA,NA,None,Normal,Flying,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,Tangled Feet,Raises evasiveness if the Pokémon is confused.,Big Pecks,Protects the Pokémon from Defense-lowering effects.,NA,NA,70,Red,Medium Slow,216,Flying,NA,15,77,Level 36
79,18,Pidgeot,Bird Pokemon,Mega,78,None,Normal,Flying,No Guard,The Pokémon employs no-guard tactics to ensure incoming and outgoing attacks always land.,NA,NA,NA,NA,NA,NA,70,Omega Ruby,Medium Slow,261,Flying,NA,15,NA,NA
80,19,Rattata,Mouse Pokemon,NA,NA,None,Normal,None,Run Away,Enables a sure getaway from wild Pokémon.,Guts,It's so gutsy that having a status condition boosts the Pokémon's Attack stat.,Hustle,"Boosts the Attack stat, but lowers accuracy.",NA,NA,70,Red,Medium Fast,51,Field,NA,15,NA,NA
81,19,Rattata,Mouse Pokemon,Alola,80,None,Dark,Normal,Gluttony,"Makes the Pokémon eat a held Berry when its HP drops to half or less, which is sooner than usual.",Hustle,"Boosts the Attack stat, but lowers accuracy.",Thick Fat,"The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves.",NA,NA,70,Sun,Medium Fast,51,Field,NA,15,NA,NA
82,20,Raticate,Mouse Pokemon,NA,NA,None,Normal,None,Run Away,Enables a sure getaway from wild Pokémon.,Guts,It's so gutsy that having a status condition boosts the Pokémon's Attack stat.,Hustle,"Boosts the Attack stat, but lowers accuracy.",NA,NA,70,Red,Medium Fast,145,Field,NA,15,80,Level 20
83,20,Raticate,Mouse Pokemon,Alola,82,None,Dark,Normal,Gluttony,"Makes the Pokémon eat a held Berry when its HP drops to half or less, which is sooner than usual.",Hustle,"Boosts the Attack stat, but lowers accuracy.",Thick Fat,"The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves.",NA,NA,70,Sun,Medium Fast,145,Field,NA,15,81,Level 20
84,21,Spearow,Tiny Bird Pokemon,NA,NA,None,Normal,Flying,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,NA,NA,Sniper,Powers up moves if they become critical hits when attacking.,NA,NA,70,Red,Medium Fast,52,Flying,NA,15,NA,NA
85,22,Fearow,Beak Pokemon,NA,NA,None,Normal,Flying,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,NA,NA,Sniper,Powers up moves if they become critical hits when attacking.,NA,NA,70,Red,Medium Fast,155,Flying,NA,15,84,Level 20
86,23,Ekans,Snake Pokemon,NA,NA,None,Poison,None,Intimidate,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.",Shed Skin,The Pokémon may heal its own status conditions by shedding its skin.,Unnerve,Unnerves opposing Pokémon and makes them unable to eat Berries.,NA,NA,70,Red,Medium Fast,58,Field,Dragon,20,NA,NA
87,24,Arbok,Cobra Pokemon,NA,NA,None,Poison,None,Intimidate,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.",Shed Skin,The Pokémon may heal its own status conditions by shedding its skin.,Unnerve,Unnerves opposing Pokémon and makes them unable to eat Berries.,NA,NA,70,Red,Medium Fast,157,Field,Dragon,20,86,Level 22
88,172,Pichu,Tiny Mouse Pokemon,NA,NA,None,Electric,None,Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis.",NA,NA,Lightning Rod,"The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.",NA,NA,70,Gold,Medium Fast,41,Undiscovered,NA,10,NA,NA
89,25,Pikachu,Mouse Pokemon,NA,NA,None,Electric,None,Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis.",NA,NA,Lightning Rod,"The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.",NA,NA,70,Red,Medium Fast,112,Field,Fairy,10,88,NA
